"Artist","Single","Released","Sales (in millions)","Source"
"Idina Menzel","""Let It Go""","2014","10.9",""
"Justin Bieber","""Sorry""","2015","10.8",""
"Beyonce","""Halo""","2008","10.7",""
"Rihanna featuring Drake","""Work""","2016","10.6",""
"Lukas Graham","""7 Years""","2015","10.4",""
"The Chainsmokers featuring Daya","""Don't Let Me Down""","2016","10.2",""
"Lady Gaga","""Born This Way""","2011","10.06",""
"Adele","""Set Fire to the Rain""","2011","10",""
"Lorde","""Royals""","2013","10",""
"Mike Posner","""I Took a Pill in Ibiza""","2015","10",""
"Shakira featuring Freshlyground","""Waka Waka (This Time for Africa)""","2010","10",""
"Shakira featuring Wyclef Jean","""Hips Don't Lie""","2006","10",""
"Alexandra Stan","""Mr. Saxobeat""","2010","10",""
